mes_trigo,precio_dolar_trigo_ton,precio_COP_trigo_ton,año_impo,impo_canti_miles_ton,fecha_ipc,ipc_%_,fecha_trm,trm
1992-12-01,148,109007,1970-01-01,157.0,1997-12-01,0.61,1991-11-01,2777
1993-01-01,156,114970,1970-01-01,157.0,1998-01-01,1.79,1991-12-01,19543
1993-02-01,149,111020,1970-01-01,130.0,1998-02-01,3.28,1992-01-01,19966
1993-03-01,148,113118,1970-01-01,146.0,1998-03-01,2.6,1992-02-01,18434
1993-04-01,142,104668,1970-01-01,202.0,1998-04-01,2.9,1992-03-01,19856
1993-05-01,137,105773,1970-01-01,236.0,1998-05-01,1.56,1992-04-01,19499
1993-06-01,122,95030,1970-01-01,199.0,1998-06-01,1.22,1992-05-01,20453
1993-07-01,128,100228,1970-01-01,273.0,1998-07-01,0.47,1992-06-01,20315
1993-08-01,130,95723,1970-01-01,256.0,1998-08-01,0.03,1992-07-01,21848
1993-09-01,131,96801,1970-01-01,217.0,1998-09-01,0.29,1992-08-01,21519
1993-10-01,136,110298,1970-01-01,350.0,1998-10-01,0.35,1992-09-01,20925
1993-11-01,147,119063,1970-01-01,446.0,1998-11-01,0.17,1992-10-01,21942
1993-12-01,159,127505,1970-01-01,278.0,1998-12-01,0.91,1992-11-01,21677
1994-01-01,153,123239,1970-01-01,472.0,1999-01-01,2.21,1992-12-01,22749
1994-02-01,147,120074,1970-01-01,339.0,1999-02-01,1.7,1993-01-01,23101
1994-03-01,141,115719,1970-01-01,339.0,1999-03-01,0.94,1993-02-01,20992
1994-04-01,140,115026,1970-01-01,380.0,1999-04-01,0.78,1993-03-01,23706
1994-05-01,140,117152,1970-01-01,524.0,1999-05-01,0.48,1993-04-01,23144
1994-06-01,139,117247,1970-01-01,408.0,1999-06-01,0.28,1993-05-01,24163
1994-07-01,137,112416,1970-01-01,649.0,1999-07-01,0.31,1993-06-01,23535
1994-08-01,146,118974,1970-01-01,341.0,1999-08-01,0.5,1993-07-01,24645
1994-09-01,159,129536,1970-01-01,555.0,1999-09-01,0.33,1993-08-01,24944
1994-10-01,167,140933,1970-01-01,594.0,1999-10-01,0.35,1993-09-01,24291
1994-11-01,162,135728,1970-01-01,650.0,1999-11-01,0.48,1993-10-01,25249
1994-12-01,165,136509,1970-01-01,600.0,1999-12-01,0.53,1993-11-01,24418
1995-01-01,156,132388,1970-01-01,600.0,2000-01-01,1.29,1993-12-01,24902
1995-02-01,154,131260,1970-01-01,625.0,2000-02-01,2.3,1994-01-01,25288
1995-03-01,150,130117,1970-01-01,675.0,2000-03-01,1.71,1994-02-01,22893
1995-04-01,149,129863,1970-01-01,700.0,2000-04-01,1.0,1994-03-01,25414
1995-05-01,159,139198,1970-01-01,706.0,2000-05-01,0.52,1994-04-01,24880
1995-06-01,170,148814,1970-01-01,693.0,2000-06-01,-0.02,1994-05-01,26084
1995-07-01,191,170337,1970-01-01,678.0,2000-07-01,-0.04,1994-06-01,24935
1995-08-01,184,172447,1970-01-01,883.0,2000-08-01,0.32,1994-07-01,25385
1995-09-01,194,186702,1970-01-01,920.0,2000-09-01,0.43,1994-08-01,25255
1995-10-01,204,200862,1970-01-01,834.0,2000-10-01,0.15,1994-09-01,24893
1995-11-01,204,204041,1970-01-01,1003.0,2000-11-01,0.33,1994-10-01,26010
1995-12-01,209,206298,1970-01-01,918.0,2000-12-01,0.46,1994-11-01,24886
1996-01-01,207,209062,1970-01-01,1099.0,2001-01-01,1.05,1994-12-01,25713
1996-02-01,219,225377,1970-01-01,1108.0,2001-02-01,1.89,1995-02-01,23815
1996-03-01,215,225036,1970-01-01,1135.0,2001-03-01,1.48,1995-03-01,26828
1996-04-01,258,270731,1970-01-01,1164.0,2001-04-01,1.15,1995-04-01,26190
1996-05-01,262,279423,1970-01-01,1161.0,2001-05-01,0.42,1995-05-01,27180
1996-06-01,227,243706,1970-01-01,1166.0,2001-06-01,0.04,1995-06-01,26236
1996-07-01,203,215587,1970-01-01,1246.0,2001-07-01,0.11,1995-07-01,27662
1996-08-01,192,200289,1970-01-01,1248.0,2001-08-01,0.26,1995-08-01,29006
1996-09-01,179,186012,1970-01-01,1311.0,2001-09-01,0.37,1995-09-01,28901
1996-10-01,178,180808,1970-01-01,1241.0,2001-10-01,0.19,1995-10-01,30538
1996-11-01,176,176125,1970-01-01,1309.0,2001-11-01,0.12,1995-11-01,30013
1996-12-01,176,175854,1970-01-01,1403.0,2001-12-01,0.34,1995-12-01,30601
1997-01-01,176,180627,1970-01-01,1424.0,2002-01-01,0.8,1996-01-01,31317
1997-02-01,172,185146,1970-01-01,1479.0,2002-02-01,1.26,1996-02-01,29844
1997-03-01,177,187568,1970-01-01,1525.0,2002-03-01,0.71,1996-03-01,32394
1997-04-01,183,194619,1970-01-01,1507.0,2002-04-01,0.92,1996-04-01,31521
1997-05-01,173,185492,1970-01-01,1746.0,2002-05-01,0.6,1996-05-01,33039
1997-06-01,148,160579,1970-01-01,1627.0,2002-06-01,0.43,1996-06-01,32148
1997-07-01,136,150157,1970-01-01,2032.0,2002-07-01,0.02,1996-07-01,32983
1997-08-01,151,170445,1970-01-01,2110.0,2002-08-01,0.09,1996-08-01,32396
1997-09-01,152,185501,1970-01-01,1952.0,2002-09-01,0.36,1996-09-01,31204
1997-10-01,152,191457,1970-01-01,1705.0,2002-10-01,0.56,1996-10-01,31479
1997-11-01,150,193980,1970-01-01,2276.0,2002-11-01,0.78,1996-11-01,29960
1997-12-01,145,187473,1970-01-01,1906.0,2002-12-01,0.27,1996-12-01,31050
1998-01-01,137,181356,1970-01-01,2040.0,2003-01-01,1.17,1997-01-01,31753
1998-02-01,140,188524,1970-01-01,2300.0,2003-02-01,1.11,1997-02-01,30043
